"level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","num_item_wanted","item_wanted","num_item_given","item_given","trades_in_stock","price_multiplier","villager_xp"
"Novice",1,33,50,14," Raw Chicken",1,"Emerald",16,"Low",2
"Novice",1,33,50,4," Raw Rabbit",1,"Emerald",16,"Low",2
"Novice",1,33,50,7," Raw Porkchop",1,"Emerald",16,"Low",2
"Novice",2,100,50,1,"Emerald",1,"Rabbit Stew",12,"Low",1
"Apprentice",3,100,67,15," Coal",1,"Emerald",16,"Low",2
"Apprentice",4,50,67,1,"Emerald",8," Cooked Chicken",16,"Low",5
"Apprentice",4,50,67,1,"Emerald",5," Cooked Porkchop",16,"Low",5
"Journeyman",5,50,100,10," Raw Beef",1,"Emerald",16,"Low",20
"Journeyman",5,50,100,7," Raw Mutton",1,"Emerald",16,"Low",20
"Expert",6,100,100,10," Dried Kelp Block",1,"Emerald",12,"Low",30
"Master",7,100,100,10," Sweet Berries",1,"Emerald",12,"Low",30
