"level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","num_item_wanted","item_wanted","num_item_given","item_given","trades_instock","price_multiplier","villager_xp"
"Novice",1,25,40,"20 "," Wheat","1","Emerald",16,"Low",2
"Novice",1,25,40,"26 "," Potato","1","Emerald",16,"Low",2
"Novice",1,25,40,"22 "," Carrot","1","Emerald",16,"Low",2
"Novice",1,25,40,"15 "," Beetroot","1","Emerald",16,"Low",2
"Novice",2,100,40,"1","Emerald","6 "," Bread",16,"Low",1
"Apprentice",3,100,67,"6 "," Pumpkin","1","Emerald",12,"Low",10
"Apprentice",4,50,67,"1","Emerald","4 "," Pumpkin Pie",12,"Low",5
"Apprentice",4,50,67,"1","Emerald","4 "," Apple",16,"Low",5
"Journeyman",5,100,100,"4 "," Melon","1","Emerald",12,"Low",20
"Journeyman",6,100,100,"3 "," Emerald","18 "," Cookie",12,"Low",10
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",7,17,29,"1","Emerald","1","Suspicious Stew",12,"Low",15
"Expert",8,100,29,"1","Emerald","1","Cake",12,"Low",15
"Master",9,50,100,"3 "," Emerald","3 "," Golden Carrot",12,"Low",30
"Master",9,50,100,"4 "," Emerald","3 "," Glistering Melon Slice",12,"Low",30
